"Cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"11"	"ES_Adultos"	"GO:1901990"	"regulation of mitotic cell cycle phase transition"	"77/1136"	"355/18870"	2.18029977305604e-23	1.15991947926581e-20	9.03791632241546e-21	"63967/55143/991/6491/1031/4998/4582/83540/9928/51514/1063/3398/6241/348654/699/57405/51776/57520/580/993/1062/4085/9319/7015/891/995/8870/1026/7272/54443/1021/2146/1029/10783/6240/7465/113130/595/5962/1111/11130/983/894/9700/1017/79035/1019/144455/9735/7027/5720/5721/9787/4331/3306/8110/7517/701/57082/55055/1543/90381/641/5347/83903/9212/79915/990/672/332/10403/5932/596/147841/25959/51512/29980"	77
"12"	"ES_Adultos"	"GO:0140014"	"mitotic nuclear division"	"66/1136"	"274/18870"	7.62873355310463e-23	3.68953295477424e-20	2.87482801264364e-20	"55143/991/11004/84722/83540/9928/4751/1063/348654/23397/699/57405/10051/64151/1062/4085/9319/891/995/7124/3833/7272/54443/54892/157313/286151/10592/81930/113130/1111/11130/983/3832/4288/29127/9700/3479/9735/5901/440145/10419/9787/7517/701/90417/57082/51203/55055/9493/9055/9088/5347/55512/81620/83903/9212/10615/7283/146909/3837/8877/332/10403/147841/27338/5902"	66
"13"	"ES_Adultos"	"GO:0000819"	"sister chromatid segregation"	"59/1136"	"225/18870"	1.53031354398373e-22	6.78439004499456e-20	5.28629362825258e-20	"55143/991/11004/84722/83540/9928/4751/1063/348654/23397/699/57405/51776/57520/10051/64151/1062/4085/9319/891/3833/7272/54892/10592/10783/81930/113130/11130/983/3832/29127/9700/9735/5901/440145/9787/8110/7517/701/90417/57082/51203/55055/9493/9055/116028/5347/81620/83903/9212/10615/990/7153/7283/146909/3837/332/10403/147841"	59
"14"	"ES_Adultos"	"GO:0010948"	"negative regulation of cell cycle process"	"71/1136"	"320/18870"	2.98872493426326e-22	1.22307820386773e-19	9.53003950698682e-20	"26270/63967/55143/991/4998/4582/83540/4751/25896/51514/1063/348654/699/57405/51776/580/83666/151636/604/4085/9319/891/8870/1026/7272/2146/286151/7465/79733/595/1111/11130/983/1763/9700/1017/79035/8914/144455/9735/675/7517/701/57082/5888/79968/54962/55055/90381/641/899/9088/5347/81620/83903/9212/990/672/146956/83990/332/10403/5932/596/147841/25959/22809/8318/3976/51512/29980"	71
"15"	"ES_Adultos"	"GO:0000070"	"mitotic sister chromatid segregation"	"52/1136"	"184/18870"	1.27812887627407e-21	4.85688972984146e-19	3.78441467275736e-19	"55143/991/11004/84722/83540/9928/4751/1063/348654/23397/699/57405/10051/64151/1062/4085/9319/891/3833/7272/54892/10592/81930/113130/11130/983/3832/29127/9700/9735/5901/440145/9787/7517/701/90417/57082/51203/55055/9493/9055/5347/81620/83903/9212/10615/7283/146909/3837/332/10403/147841"	52
"16"	"ES_Adultos"	"GO:0045786"	"negative regulation of cell cycle"	"80/1136"	"407/18870"	2.15696577227042e-21	7.65003860565242e-19	5.96079383242169e-19	"26270/63967/55143/991/4998/4582/83540/5743/4751/25896/51514/1063/348654/699/57405/51776/580/83666/151636/604/4085/836/9319/891/51053/8870/7124/1026/7272/5796/1021/2146/286151/1029/7465/79733/595/1111/11130/983/1763/3164/9700/1017/79035/8914/144455/9735/675/7517/701/57082/5888/79968/54962/55055/90381/641/899/9088/5347/81620/83903/9212/990/672/146956/83990/332/10403/5932/596/147841/25959/22809/8318/3976/51512/10950/29980"	80
"17"	"ES_Adultos"	"GO:1901988"	"negative regulation of cell cycle phase transition"	"64/1136"	"277/18870"	3.73331275426049e-21	1.24132649079161e-18	9.67222738570908e-19	"26270/63967/55143/991/4998/4582/83540/25896/51514/1063/348654/699/57405/51776/580/83666/151636/4085/9319/891/8870/1026/7272/2146/7465/595/1111/11130/983/1763/1017/79035/8914/144455/9735/675/7517/701/57082/5888/79968/54962/55055/90381/641/9088/5347/81620/83903/9212/990/672/146956/83990/332/10403/5932/596/147841/25959/22809/8318/51512/29980"	64
"18"	"ES_Adultos"	"GO:0007093"	"mitotic cell cycle checkpoint signaling"	"45/1136"	"142/18870"	4.26528493293556e-21	1.33478328489513e-18	1.04004285237772e-18	"63967/55143/991/4998/4582/83540/51514/1063/348654/699/57405/51776/580/4085/9319/891/8870/1026/7272/595/1111/11130/983/1017/79035/9735/7517/701/57082/54962/55055/90381/641/5347/83903/9212/990/672/146956/332/10403/5932/147841/51512/29980"	45
"19"	"ES_Adultos"	"GO:0051983"	"regulation of chromosome segregation"	"42/1136"	"131/18870"	5.40262413962358e-20	1.5967755790443e-17	1.24418326677413e-17	"55143/991/11004/83540/1063/348654/23397/699/57405/51776/57520/5359/10051/64151/1062/4085/9319/891/7272/54892/157313/10592/10783/11130/983/4288/9700/9735/9787/8110/7517/701/57082/55055/116028/5347/83903/9212/990/332/10403/147841"	42
"20"	"ES_Adultos"	"GO:1905818"	"regulation of chromosome separation"	"31/1136"	"74/18870"	5.37384714800707e-19	1.50467720144198e-16	1.17242161046271e-16	"55143/991/83540/1063/348654/23397/699/57405/5359/10051/64151/4085/9319/891/7272/54892/10592/11130/9700/9735/9787/7517/701/57082/55055/5347/83903/9212/332/10403/147841"	31
"21"	"ES_Adultos"	"GO:0007088"	"regulation of mitotic nuclear division"	"38/1136"	"118/18870"	2.71710649335235e-18	7.22750327231726e-16	5.63156072148504e-16	"55143/991/83540/4751/1063/348654/699/57405/4085/9319/891/995/7124/7272/157313/286151/1111/11130/4288/9700/3479/9735/10419/9787/7517/701/57082/51203/55055/9088/5347/55512/83903/9212/8877/332/10403/147841"	38
"22"	"ES_Adultos"	"GO:0051304"	"chromosome separation"	"31/1136"	"81/18870"	1.24246033017179e-17	3.14756616976854e-15	2.45253572943184e-15	"55143/991/83540/1063/348654/23397/699/57405/5359/10051/64151/4085/9319/891/7272/54892/10592/11130/9700/9735/9787/7517/701/57082/55055/5347/83903/9212/332/10403/147841"	31
"23"	"ES_Adultos"	"GO:0051783"	"regulation of nuclear division"	"41/1136"	"146/18870"	3.23543286406942e-17	7.8238649258406e-15	6.09623665966765e-15	"2827/55143/991/83540/4751/1063/348654/699/57405/4085/9319/891/995/7124/7272/157313/286151/1111/11130/4288/10635/9700/3479/9735/10419/9787/7517/701/57082/51203/55055/9088/5347/55512/83903/9212/8877/332/10403/147841/3976"	41
"24"	"ES_Adultos"	"GO:0090068"	"positive regulation of cell cycle process"	"56/1136"	"262/18870"	5.04348130409805e-17	1.16657915381746e-14	9.08980749452545e-15	"55143/991/6491/9928/8444/51514/6241/348654/23397/699/51776/993/5359/10051/1894/64151/4085/10733/7015/891/995/7124/2146/54892/10592/6240/79733/2237/113130/595/5962/983/894/10635/29127/9700/1019/144455/3479/11113/7027/9787/3306/7517/51203/9493/1543/55512/9212/10615/79915/990/8877/332/10403/5902"	56
"25"	"ES_Adultos"	"GO:0006310"	"DNA recombination"	"65/1136"	"340/18870"	5.88021245127427e-17	1.3034470933658e-14	1.01562616811921e-14	"378708/79000/8438/7292/9156/348654/4175/10213/3329/580/4292/10039/10721/4171/604/7037/7468/3558/84057/3148/9319/3565/4172/115004/253714/6119/4176/7516/84296/4173/4796/9401/80010/2237/1111/10635/57379/79035/8914/55010/7374/675/10538/7517/5888/80119/641/116028/51659/79915/7153/29893/672/146956/83990/3838/10189/201254/5932/29128/9466/10856/8318/4174/11144"	65
"26"	"ES_Adultos"	"GO:0034341"	"response to type II interferon"	"40/1136"	"143/18870"	9.16827949351169e-17	1.95100987621929e-14	1.52019724822943e-14	"149233/2633/2634/115361/115362/163351/6846/6375/356/6772/6364/83666/54625/3659/972/7124/3717/6363/1612/445/10581/8519/10410/6737/2597/1594/3458/2643/84166/6367/3394/3965/6346/6348/6351/6349/71/6370/684/3594"	40
"27"	"ES_Adultos"	"GO:0007094"	"mitotic spindle assembly checkpoint signaling"	"23/1136"	"46/18870"	1.49084443523787e-16	2.77452453210188e-14	2.1618673540596e-14	"55143/991/83540/1063/348654/699/57405/4085/9319/891/7272/11130/9735/7517/701/57082/55055/5347/83903/9212/332/10403/147841"	23
"28"	"ES_Adultos"	"GO:0071173"	"spindle assembly checkpoint signaling"	"23/1136"	"46/18870"	1.49084443523787e-16	2.77452453210188e-14	2.1618673540596e-14	"55143/991/83540/1063/348654/699/57405/4085/9319/891/7272/11130/9735/7517/701/57082/55055/5347/83903/9212/332/10403/147841"	23
"29"	"ES_Adultos"	"GO:0071174"	"mitotic spindle checkpoint signaling"	"23/1136"	"46/18870"	1.49084443523787e-16	2.77452453210188e-14	2.1618673540596e-14	"55143/991/83540/1063/348654/699/57405/4085/9319/891/7272/11130/9735/7517/701/57082/55055/5347/83903/9212/332/10403/147841"	23
"30"	"ES_Adultos"	"GO:1901991"	"negative regulation of mitotic cell cycle phase transition"	"47/1136"	"196/18870"	1.51242878629614e-16	2.77452453210188e-14	2.1618673540596e-14	"63967/55143/991/4998/4582/83540/51514/1063/348654/699/57405/580/4085/9319/891/8870/1026/7272/2146/7465/595/1111/11130/983/1017/79035/144455/9735/7517/701/57082/55055/90381/641/5347/83903/9212/990/672/332/10403/5932/596/147841/25959/51512/29980"	47
"31"	"ES_Adultos"	"GO:0031577"	"spindle checkpoint signaling"	"23/1136"	"47/18870"	2.75456515206512e-16	4.88476220299548e-14	3.80613248029209e-14	"55143/991/83540/1063/348654/699/57405/4085/9319/891/7272/11130/9735/7517/701/57082/55055/5347/83903/9212/332/10403/147841"	23
"32"	"ES_Adultos"	"GO:0045930"	"negative regulation of mitotic cell cycle"	"53/1136"	"248/18870"	3.53607034105825e-16	6.06835297239673e-14	4.72836842210098e-14	"63967/55143/991/4998/4582/83540/51514/1063/348654/699/57405/51776/580/604/4085/9319/891/8870/7124/1026/7272/2146/7465/595/1111/11130/983/1017/79035/144455/9735/7517/701/57082/54962/55055/90381/641/5347/83903/9212/990/672/146956/332/10403/5932/596/147841/25959/51512/10950/29980"	53
"33"	"ES_Adultos"	"GO:0030071"	"regulation of mitotic metaphase/anaphase transition"	"31/1136"	"90/18870"	4.12643535631128e-16	6.8601987798675e-14	5.34536264248481e-14	"55143/991/83540/1063/348654/699/57405/51776/57520/1062/4085/9319/891/7272/10783/11130/9700/9735/9787/8110/7517/701/57082/55055/5347/83903/9212/990/332/10403/147841"	31
"34"	"ES_Adultos"	"GO:0033046"	"negative regulation of sister chromatid segregation"	"23/1136"	"48/18870"	4.9898798480552e-16	7.37393355323713e-14	5.74565697124017e-14	"55143/991/83540/1063/348654/699/57405/4085/9319/891/7272/11130/9735/7517/701/57082/55055/5347/83903/9212/332/10403/147841"	23
"35"	"ES_Adultos"	"GO:0033048"	"negative regulation of mitotic sister chromatid segregation"	"23/1136"	"48/18870"	4.9898798480552e-16	7.37393355323713e-14	5.74565697124017e-14	"55143/991/83540/1063/348654/699/57405/4085/9319/891/7272/11130/9735/7517/701/57082/55055/5347/83903/9212/332/10403/147841"	23
"36"	"ES_Adultos"	"GO:0045841"	"negative regulation of mitotic metaphase/anaphase transition"	"23/1136"	"48/18870"	4.9898798480552e-16	7.37393355323713e-14	5.74565697124017e-14	"55143/991/83540/1063/348654/699/57405/4085/9319/891/7272/11130/9735/7517/701/57082/55055/5347/83903/9212/332/10403/147841"	23
"37"	"ES_Adultos"	"GO:2000816"	"negative regulation of mitotic sister chromatid separation"	"23/1136"	"48/18870"	4.9898798480552e-16	7.37393355323713e-14	5.74565697124017e-14	"55143/991/83540/1063/348654/699/57405/4085/9319/891/7272/11130/9735/7517/701/57082/55055/5347/83903/9212/332/10403/147841"	23
"38"	"ES_Adultos"	"GO:0051784"	"negative regulation of nuclear division"	"26/1136"	"63/18870"	5.85083441199631e-16	8.41255110049199e-14	6.55493198134892e-14	"55143/991/83540/1063/348654/699/57405/4085/9319/891/7272/286151/1111/11130/9735/7517/701/57082/55055/5347/83903/9212/332/10403/147841/3976"	26
"39"	"ES_Adultos"	"GO:0033045"	"regulation of sister chromatid segregation"	"33/1136"	"104/18870"	7.51529921828813e-16	1.05214189056034e-13	8.19812972898023e-14	"55143/991/83540/1063/348654/699/57405/51776/57520/1062/4085/9319/891/7272/10783/11130/983/9700/9735/9787/8110/7517/701/57082/55055/116028/5347/83903/9212/990/332/10403/147841"	33
"40"	"ES_Adultos"	"GO:0033047"	"regulation of mitotic sister chromatid segregation"	"24/1136"	"54/18870"	9.96405883919822e-16	1.33513590489563e-13	1.04031760852374e-13	"55143/991/83540/1063/348654/699/57405/4085/9319/891/7272/11130/983/9735/7517/701/57082/55055/5347/83903/9212/332/10403/147841"	24
"41"	"ES_Adultos"	"GO:0010965"	"regulation of mitotic sister chromatid separation"	"25/1136"	"59/18870"	1.0038615826283e-15	1.33513590489563e-13	1.04031760852374e-13	"55143/991/83540/1063/348654/699/57405/4085/9319/891/7272/11130/9700/9735/9787/7517/701/57082/55055/5347/83903/9212/332/10403/147841"	25
"42"	"ES_Adultos"	"GO:1902099"	"regulation of metaphase/anaphase transition of cell cycle"	"31/1136"	"93/18870"	1.18812991057483e-15	1.54167100591661e-13	1.20124662075576e-13	"55143/991/83540/1063/348654/699/57405/51776/57520/1062/4085/9319/891/7272/10783/11130/9700/9735/9787/8110/7517/701/57082/55055/5347/83903/9212/990/332/10403/147841"	31
"43"	"ES_Adultos"	"GO:0045787"	"positive regulation of cell cycle"	"62/1136"	"334/18870"	1.33937094424804e-15	1.69653652938085e-13	1.32191548332049e-13	"55143/991/6491/84722/9928/8444/51514/6241/348654/23397/699/51776/993/5359/10051/1894/64151/4085/10733/7015/891/995/7124/2146/54892/1978/10592/6240/6737/79733/2237/113130/8061/595/5962/1111/983/894/10635/29127/9700/1019/144455/3479/11113/675/7027/9787/3306/7517/51203/9493/1543/55512/9212/10615/79915/990/8877/332/10403/5902"	62
"44"	"ES_Adultos"	"GO:0051985"	"negative regulation of chromosome segregation"	"23/1136"	"50/18870"	1.55022901180039e-15	1.83271518728402e-13	1.42802382420349e-13	"55143/991/83540/1063/348654/699/57405/4085/9319/891/7272/11130/9735/7517/701/57082/55055/5347/83903/9212/332/10403/147841"	23
"45"	"ES_Adultos"	"GO:1902100"	"negative regulation of metaphase/anaphase transition of cell cycle"	"23/1136"	"50/18870"	1.55022901180039e-15	1.83271518728402e-13	1.42802382420349e-13	"55143/991/83540/1063/348654/699/57405/4085/9319/891/7272/11130/9735/7517/701/57082/55055/5347/83903/9212/332/10403/147841"	23
"46"	"ES_Adultos"	"GO:1905819"	"negative regulation of chromosome separation"	"23/1136"	"50/18870"	1.55022901180039e-15	1.83271518728402e-13	1.42802382420349e-13	"55143/991/83540/1063/348654/699/57405/4085/9319/891/7272/11130/9735/7517/701/57082/55055/5347/83903/9212/332/10403/147841"	23
"47"	"ES_Adultos"	"GO:0007091"	"metaphase/anaphase transition of mitotic cell cycle"	"31/1136"	"94/18870"	1.67212568087601e-15	1.93384970049138e-13	1.5068263000663e-13	"55143/991/83540/1063/348654/699/57405/51776/57520/1062/4085/9319/891/7272/10783/11130/9700/9735/9787/8110/7517/701/57082/55055/5347/83903/9212/990/332/10403/147841"	31
"48"	"ES_Adultos"	"GO:0006270"	"DNA replication initiation"	"20/1136"	"37/18870"	1.98068911109788e-15	2.24197150447675e-13	1.74691012754837e-13	"4998/4175/4171/51053/4172/5558/4176/4173/9134/23649/55388/1017/90381/23594/64785/81620/990/898/8318/4174"	20
"49"	"ES_Adultos"	"GO:0045839"	"negative regulation of mitotic nuclear division"	"24/1136"	"56/18870"	2.75365232019173e-15	3.05196465487917e-13	2.37804448177962e-13	"55143/991/83540/1063/348654/699/57405/4085/9319/891/7272/1111/11130/9735/7517/701/57082/55055/5347/83903/9212/332/10403/147841"	24
"50"	"ES_Adultos"	"GO:0009615"	"response to virus"	"72/1136"	"436/18870"	4.01312925764445e-15	4.27963424897737e-13	3.33462597397564e-13	"55210/2023/3925/80149/149233/10964/10561/2633/2634/115362/9447/6375/7292/55509/1130/91543/4953/64135/6772/83666/151636/5359/64108/4283/3627/4790/59067/22948/3659/3565/7124/115004/7128/1687/1021/3663/54512/3717/6363/10581/8519/10410/6737/220001/8061/3312/9188/54541/59/3433/3437/57379/3458/4940/10379/3320/51728/84166/6367/708/1984/3965/146857/6351/5366/596/684/3594/602/11274/9582/5600"	72
"51"	"ES_Adultos"	"GO:0090329"	"regulation of DNA-templated DNA replication"	"22/1136"	"47/18870"	4.05241598761405e-15	4.27963424897737e-13	3.33462597397564e-13	"4175/4171/5984/604/51053/4172/5982/4176/4173/79075/79733/57379/1017/8914/144455/5985/5983/54962/90381/641/81620/4174"	22
"52"	"ES_Adultos"	"GO:0051306"	"mitotic sister chromatid separation"	"25/1136"	"62/18870"	4.10265689281665e-15	4.27963424897737e-13	3.33462597397564e-13	"55143/991/83540/1063/348654/699/57405/4085/9319/891/7272/11130/9700/9735/9787/7517/701/57082/55055/5347/83903/9212/332/10403/147841"	25
"53"	"ES_Adultos"	"GO:0044784"	"metaphase/anaphase transition of cell cycle"	"31/1136"	"97/18870"	4.52121274725963e-15	4.62554842604254e-13	3.60415704427296e-13	"55143/991/83540/1063/348654/699/57405/51776/57520/1062/4085/9319/891/7272/10783/11130/9700/9735/9787/8110/7517/701/57082/55055/5347/83903/9212/990/332/10403/147841"	31
"54"	"ES_Adultos"	"GO:0001819"	"positive regulation of cytokine production"	"78/1136"	"499/18870"	6.18723335833608e-15	6.21058140874489e-13	4.83919065841658e-13	"8764/11315/943/149233/3595/255231/115362/9447/6375/7292/5743/7100/91543/1545/57162/8809/64135/6772/3329/7855/11148/4345/941/57493/10855/3558/59067/3148/5734/1437/3659/3596/3565/1958/972/84868/3662/9308/4049/7124/115004/4602/29923/3663/3620/3717/29126/6363/30968/8013/10555/7186/283234/9188/2597/3458/4940/5027/144811/10538/3320/80381/8482/3394/8140/136/3965/6346/6348/672/8877/10148/718/9466/3594/602/5008/5600"	78
"55"	"ES_Adultos"	"GO:0044786"	"cell cycle DNA replication"	"21/1136"	"44/18870"	1.04592567826037e-14	1.03043048302688e-12	8.02895774071994e-13	"4175/4171/604/51053/4172/4173/79733/2237/1763/57379/144455/675/5888/54962/641/64785/81620/79915/7083/8318/29980"	21
"56"	"ES_Adultos"	"GO:0044839"	"cell cycle G2/M phase transition"	"39/1136"	"155/18870"	1.06598583474606e-14	1.03109902560892e-12	8.03416692292821e-13	"63967/4998/9928/8444/51514/1063/580/993/890/891/995/8870/1026/1021/9833/6240/7465/595/1111/84930/983/2305/1017/79035/1019/3306/9133/90381/641/9088/5347/9212/79915/990/672/10403/5932/22809/29980"	39
"57"	"ES_Adultos"	"GO:0051310"	"metaphase chromosome alignment"	"30/1136"	"96/18870"	2.46458966204789e-14	2.3413601789455e-12	1.8243522723956e-12	"55143/11004/84722/83540/9928/4751/1063/57405/151648/4292/1894/1062/891/3833/55166/2669/81930/113130/29127/9735/90417/57082/55055/81620/9212/10615/3837/332/10403/147841"	30
"58"	"ES_Adultos"	"GO:0032392"	"DNA geometric change"	"28/1136"	"85/18870"	4.01808904355154e-14	3.75021644064810e-12	2.92211166269732e-12	"4175/10721/4171/5984/3148/3159/4172/10973/5982/4176/84296/4173/79075/9401/1763/5985/5983/4331/5888/80119/641/64785/51659/7153/83990/10856/8318/4174"	28
"59"	"ES_Adultos"	"GO:0032508"	"DNA duplex unwinding"	"27/1136"	"79/18870"	4.09102493930302e-14	3.75245735811933e-12	2.92385775153817e-12	"4175/10721/4171/5984/3159/4172/10973/5982/4176/84296/4173/79075/9401/1763/5985/5983/4331/5888/80119/641/64785/51659/7153/83990/10856/8318/4174"	27
"60"	"ES_Adultos"	"GO:0033044"	"regulation of chromosome organization"	"49/1136"	"247/18870"	9.75964069363588e-14	8.80021838815981e-12	6.85699644095238e-12	"55143/991/83540/4751/1063/348654/23397/699/57405/51776/57520/10051/64151/1062/4085/9319/22948/891/7272/6950/908/54892/10592/10783/2237/11130/983/9700/1017/79035/9735/9787/4331/8110/7517/701/57082/80119/55055/116028/5347/83903/9212/990/7153/332/10403/147841/10856"	49
"61"	"ES_Adultos"	"GO:0070663"	"regulation of leukocyte proliferation"	"51/1136"	"267/18870"	1.45075092686152e-13	1.28633248848388e-11	1.00229072806678e-11	"7293/8764/3604/149233/1435/6375/7292/57162/1493/3485/11148/941/604/7037/952/3558/59067/836/1437/3659/3567/3596/3565/972/84868/7940/1026/27242/7128/196/3620/3717/29126/6363/283234/51083/2615/3559/3479/6541/10673/384/80381/3965/79915/596/10148/970/684/3594/259307"	51
"62"	"ES_Adultos"	"GO:0050000"	"chromosome localization"	"32/1136"	"116/18870"	1.6748301110738e-13	1.43711228885687e-11	1.11977605728499e-11	"55143/11004/84722/4000/83540/9928/4751/1063/57405/151648/4292/1894/1062/891/3833/55166/2669/81930/113130/29127/9735/9787/90417/57082/55055/81620/9212/10615/3837/332/10403/147841"	32
"63"	"ES_Adultos"	"GO:1902749"	"regulation of cell cycle G2/M phase transition"	"32/1136"	"116/18870"	1.6748301110738e-13	1.43711228885687e-11	1.11977605728499e-11	"63967/4998/9928/8444/51514/1063/580/993/891/995/8870/1026/1021/6240/595/1111/983/1017/79035/1019/3306/90381/641/9088/5347/9212/79915/990/672/5932/22809/29980"	32
"64"	"ES_Adultos"	"GO:0002819"	"regulation of adaptive immune response"	"44/1136"	"208/18870"	1.71506365298526e-13	1.448275973632e-11	1.12847463081971e-11	"8764/80149/149233/6375/7292/725/11221/91543/84695/8809/3329/7855/4292/10039/941/604/7037/7468/3558/3659/3565/84868/4049/7124/6891/7128/80328/80329/196/3717/29126/6363/7186/5027/10673/10538/79915/718/9466/3594/634/5817/259307/64092"	44
