logFC	logCPM	PValue	FDR
MTHFD2	1.76838650661487	5.5357448976273	1.76078729904742e-07	8.23882343944848e-05
TMEM140	1.95320894483319	5.73418056607581	1.85069692083752e-07	8.49267839228411e-05
GBP4	3.63007157259291	9.69659597075669	1.88353285041988e-07	8.49267839228411e-05
RFX5	1.08158916658223	6.37403426873191	2.22922727465151e-07	9.77292858024918e-05
EGR3	5.05977365939215	3.70129003942759	2.24628787077787e-07	9.77292858024918e-05
EPHA4	-1.01903204521251	5.15896516316584	2.60448414765926e-07	0.000111359659272073
DUSP5	3.4153955251991	3.86678203895295	2.78328365905325e-07	0.00011654568625689
CEACAM1	2.85175569396341	2.3718063497945	2.83015355129743e-07	0.00011654568625689
BATF3	4.03790365164536	1.67670027167782	2.86676352339623e-07	0.00011654568625689
SAMD9L	2.77174477875204	7.51051084618909	2.98470856658991e-07	0.000119282237327549
TASL	2.23325253242964	3.19556072044178	3.03027579807073e-07	0.000119282237327549
SOCS3	1.6504114732074	4.15705676273031	3.07924349475769e-07	0.0001193158741039
SLC37A1	1.60344499785681	5.24627974442674	4.17353036373933e-07	0.000158190272135852
IFIT3	3.36250960478263	4.78747185438104	4.2100721645898e-07	0.000158190272135852
IER5	1.38843444382608	5.533961668472	4.54828077289352e-07	0.00016834748490595
TP53INP1	1.5722711560055	6.13322532229544	5.10022545293749e-07	0.000186000722069701
NLRC5	1.84048662560592	8.94232997239359	5.20424454406518e-07	0.000187043565867061
BIRC3	1.75804646557227	8.62755081729529	5.7112263065087e-07	0.000202332430250156
TOB1	-0.930929067474618	5.73651559315418	6.02096770867197e-07	0.00020966724931012
TRAF3	0.992230839735138	6.7789525729766	6.0873591476788e-07	0.00020966724931012
RGS1	4.84429293349541	4.6539566051766	6.68461151357206e-07	0.000225212173672484
MSL3	0.928271730907138	8.48962535663337	6.77750730684155e-07	0.000225212173672484
LRRC8D	0.809864574144764	6.26266924285057	6.81112666858999e-07	0.000225212173672484
APOL1	1.95897804370537	5.86599440823357	6.95755581919036e-07	0.000227026877315923
TANK	1.01636340276824	6.16679466563012	7.43235661901731e-07	0.000239370145188325
TAP2	1.68409574726373	8.0919528509271	7.73204851921234e-07	0.000245829578497368
TAP1	2.02985845978921	8.72095395866443	8.10599785160356e-07	0.000254456507242933
FOXP3	1.46853965651291	3.24236601478212	8.68715073843879e-07	0.000269290813953179
ZBTB24	1.05629311109659	6.22469763138136	1.00078412208037e-06	0.000306400561030507
NAMPT	0.98253768124755	5.39207185144409	1.01751442126484e-06	0.000307723660157888
TAF4B	0.90988887579099	5.09943983504069	1.06038483543504e-06	0.000316825102818717
APOL2	1.70324565746646	7.36992031932613	1.11309471195978e-06	0.000328614711451078
SAMD4A	4.74199480158372	2.32231198205547	1.15977110235967e-06	0.00033836663020491
MARCKSL1	-1.28421563250782	6.74344766560298	1.19178157686839e-06	0.000343662689822781
PLCD1	-1.25422341283479	5.34956800391173	1.34160056948474e-06	0.000382417845087956
ZMIZ2	0.960137563287608	7.20802916717351	1.41260302669905e-06	0.000396296052410811
TNF	3.0969639813901	4.92084020903716	1.42224882715279e-06	0.000396296052410811
ARRB2	-0.96140903838219	7.84065948862522	1.54072210790824e-06	0.000424537417266849
MYO1B	3.04241020818707	0.820662878518413	1.6931366001668e-06	0.00046140763239051
C11orf21	-1.15464330478094	6.0737109809878	1.77202586412941e-06	0.000473452926075951
LYSMD2	0.892859528773779	5.34006656490292	1.77552006633588e-06	0.000473452926075951
LONRF1	1.10317791441887	3.98674836968862	1.88717710447859e-06	0.000497873457595368
TRIM69	1.82147702715607	6.77730482766994	2.13474741559299e-06	0.000552895330907607
KIAA0040	0.993919896416343	6.4225706984625	2.14032629408969e-06	0.000552895330907607
CD200	1.81780054598879	2.85134365898546	2.36208161598442e-06	0.000589893650593267
XAF1	2.10183667700857	7.44407519567843	2.36267859611509e-06	0.000589893650593267
ALPK1	2.49028582139249	5.22478359864679	2.3661115816151e-06	0.000589893650593267
GABPB1	1.04580078479882	4.8280733256258	2.37869934510774e-06	0.000589893650593267
LRRC32	4.12841718266439	-0.41661786577029	2.43994106128899e-06	0.000599090082959461
CA2	2.95188635351753	0.272202370048976	2.47725585334985e-06	0.000602288901051205
NFKBIA	1.4716703374583	7.83421580809015	2.51207472493773e-06	0.000604824670910008
FAM229A	-1.03056786573306	5.00089270865987	2.59911443522355e-06	0.000619222802492773
RTP4	2.31097078407596	3.93261962792483	2.62181516439135e-06	0.000619222802492773
DTX3L	2.12476541963191	7.54809204747103	2.7856043571234e-06	0.000651700023134937
IPO4	1.02041901068876	4.90014996998152	2.87754343440563e-06	0.000666917753549768
ST8SIA1	1.7524342543807	3.99358947939939	3.0065207977095e-06	0.000690358419096277
SYNGAP1	-0.838629546452737	6.30687727926514	3.44701395528577e-06	0.000784243110799374
APOL3	1.83555989381648	8.37705265869277	3.48871184296711e-06	0.00078651422721583
GBP1P1	6.77508071655678	1.44735087671059	3.58702099868554e-06	0.000801392195913539
PARP11	1.29320913086468	5.2694071135252	3.68653125526585e-06	0.000816270433922658
ARID5B	0.887716946034404	5.62012758264781	3.87195615172036e-06	0.00084752954345838
ZC3H7A	0.981519600501329	7.16906525784622	3.90657543221861e-06	0.00084752954345838
SIGIRR	-1.08323442226512	6.86934942196111	3.93023498922189e-06	0.00084752954345838
TNFRSF18	3.44722507520789	2.25140651611742	4.45852729367332e-06	0.000953163951343144
BCL2L14	5.8937417504107	1.13271357525123	4.5503200474723e-06	0.000964473391942441
IFIH1	1.8599980420011	6.17339980061868	4.67286473750845e-06	0.00098205400530061
VIPR1	-1.16114881821294	6.96496269299232	4.89723877674004e-06	0.0010205598691124
GPRC5B	2.47603445489655	1.79398888960759	4.94735044889206e-06	0.00102241119818395
PSME2	1.5317104824169	7.74494010710338	5.12779275577089e-06	0.00105094324421787
SYTL1	-1.01513635188609	6.82411275015518	5.17232851806534e-06	0.00105138176163526
SDC4	3.69361347022438	2.17011300528825	6.23683781911107e-06	0.00125707674412226
GPR137	1.26944338876275	4.83595660401497	6.28563717372312e-06	0.00125707674412226
DUSP10	2.03458553522738	3.1389883266154	6.59103799661693e-06	0.00130760921022483
SAP25	-1.02089904837897	6.326309997002	6.70688547000413e-06	0.00132003216484629
GSTA4	2.74232580502965	1.09391199160358	6.86788258541853e-06	0.00132735009290605
APOL6	2.0821064340037	8.04983497415335	6.89300261524702e-06	0.00132735009290605
NFKB1	0.989406739010655	7.39362639089375	6.90463978325255e-06	0.00132735009290605
TTC9	-0.773356796556219	6.13172020684127	7.08950783193793e-06	0.00134806189083964
CARINH	1.96753388862935	5.90395483911409	7.14384119353626e-06	0.00134806189083964
TTC7A	0.953478827327228	5.51104504967999	7.17545746162477e-06	0.00134806189083964
SRGN	0.854640904187285	6.65355369808392	7.24735890658992e-06	0.00135133273326709
IRAK2	1.45070266656493	3.65847253752983	7.37180855049131e-06	0.0013642797033107
EGR2	4.89312942464869	3.97017223684508	8.43426619239232e-06	0.00154934346151953
TAPBP	1.07829498468984	8.46102990313458	8.92233389806484e-06	0.00162694822307434
RASGEF1B	1.22067452387593	4.12630101571304	9.75374408232822e-06	0.00176557006932597
SORBS3	-1.01107103832313	6.66749674714927	9.86611349755467e-06	0.001772969192941
TRAFD1	2.04999216427648	6.93582113372679	1.07248734451476e-05	0.00191342544292242
SELPLG	-0.825393215771686	8.21154007298405	1.08757275301397e-05	0.00192372372447664
CHAC1	2.94265624028347	1.50055419542444	1.09377412456634e-05	0.00192372372447664
JAK3	0.826303604070345	8.34188723316768	1.19579634645608e-05	0.00208834884477214
TNFRSF10D	-0.899737425160186	4.82436413800884	1.2489283057278e-05	0.00215349827751686
STX3	-0.986261101350123	4.26136326526328	1.25046877681531e-05	0.00215349827751686
IRF8	2.54527606721528	4.32791182466672	1.3097229906454e-05	0.00223998761689761
IL15RA	1.79857585451781	3.52290046808976	1.31925869888953e-05	0.00224084222423024
BTLA	1.14679877336636	4.6275884619107	1.35201922556174e-05	0.00228086563093236
STAT3	1.16861367371714	7.83377857667636	1.4668128446292e-05	0.0024578034955378
KLF10	2.9602788733675	2.85044135732102	1.48266575731611e-05	0.00246769316212632
NABP1	1.40425297967509	6.09652362709691	1.56775848178429e-05	0.00259192283931791
ESPL1	3.48862196990287	1.05111632414123	1.61296010936899e-05	0.00264899322862527
ATP6V0E2	-0.720392443142789	6.24959542994397	1.63596065549976e-05	0.00266909133524596
HIF1A	0.918720367049009	6.89853294719492	1.69524871300355e-05	0.00274774332246896
SGPP2	1.9715573418609	3.39837531478894	1.73151605980776e-05	0.0027883030368294
MFSD2A	2.89407346414315	1.97852663202774	1.84120558384271e-05	0.00294581014669131
TRIM21	1.45293742681058	6.26295433863583	1.99230656851704e-05	0.00316712888414449
MIR3142HG	1.51014853200795	3.77338680681672	2.04576177373767e-05	0.00321248641654897
ABCC1	0.878967231251161	7.25457485994546	2.04674726325553e-05	0.00321248641654897
RGS14	-0.947867812515786	7.04344453453393	2.0817245562794e-05	0.00324683567743225
PSAT1	0.858582429083054	4.87375277173084	2.1197489205286e-05	0.0032854783425118
SOCS1	2.52391790699375	3.62076613037348	2.30228812004116e-05	0.00354623870117396
CD69	1.60096385181378	6.10372159755067	2.39019066487258e-05	0.00365890977149229
CD274	2.22885738303373	5.44800017950013	2.44735103382668e-05	0.00372342688882625
NFKBIE	1.17344047973053	4.17083690518164	2.49705702389809e-05	0.00373627126183683
ID2	1.16117533473735	5.30071154011301	2.50359444170129e-05	0.00373627126183683
PSMB9	1.79026866497964	5.31618990996203	2.51075127264035e-05	0.00373627126183683
ANXA2R-OT1	1.31358466808425	5.24580580129913	2.51605831173334e-05	0.00373627126183683
CASZ1	1.54984791805607	3.79900646788316	2.56539103651869e-05	0.00378685311396589
PLLP	-0.961322230718708	4.11545506362459	2.59446659864043e-05	0.00379049328482862
ADORA2A	-0.958129180922491	5.23233484405661	2.59842678503514e-05	0.00379049328482862
INPP1	2.19541100447654	2.94631778508159	2.63269672937491e-05	0.00381802609308587
NT5C3A	0.933016760491374	5.31088691399797	2.74405361783572e-05	0.00395638288771558
SIT1	-1.20296649543816	4.6098409404745	2.768777375773e-05	0.00396895434345634
TMC8	-0.867006148612476	8.82200628641421	2.89362083234259e-05	0.00412407488627954
TRAF2	0.981967804665399	5.44737675932078	2.91243402030977e-05	0.00412716864398068
BTN2A2	0.950079558211965	4.83819681923312	3.01676155788567e-05	0.00424778218618426
GBP3	1.6298699141983	6.50092283002725	3.03180550407119e-05	0.00424778218618426
SLC1A5	1.42743358140496	4.11742266614815	3.18715262671607e-05	0.00443851806974636
ICOS	1.08349021574408	7.19417387518732	3.203736983284e-05	0.00443851806974636
AQP3	-1.31315820076886	7.2175670023078	3.27659446849167e-05	0.00451423701245138
CISH	1.3778159234459	4.56263815854209	3.38211898370704e-05	0.00463387672248348
CCL3	4.60417215198576	3.01550513666854	3.44805858868745e-05	0.00469826400773956
ARHGAP31	1.8886906996251	2.63959270659922	3.564038192512e-05	0.00479626320529759
ACTG1	1.00541982095115	10.1200413473164	3.57670210837314e-05	0.00479626320529759
IKZF4	1.2207803241753	3.65387195320115	3.57800190725454e-05	0.00479626320529759
SLC25A16	0.677657991848718	5.26155553627661	3.64636215080357e-05	0.00486162016009558
BISPR	1.37525136602391	5.15347455563418	3.68892716498285e-05	0.00489206977349784
NFKBID	1.12034906084796	4.66049260824585	3.90148102075802e-05	0.00512589193025206
NEXN	2.88484885723944	2.19277409929575	3.90658322842711e-05	0.00512589193025206
MCL1	0.828525689764602	9.22215983363993	3.96537485427049e-05	0.00517564900058178
PRKCB	-0.725611044500768	7.12653230165535	3.99171255896235e-05	0.00518274763087473
ULBP1	3.96549103819154	-0.907013295370662	4.08761089741717e-05	0.00526344113385005
TMEM200A	3.85459932687646	0.726887427289641	4.09631089492745e-05	0.00526344113385005
SLC14A1	-1.66883777431454	2.49749073005012	4.18598030166659e-05	0.00535093430417679
OR2I1P	6.74837687769514	-1.87771773220875	4.2713301560729e-05	0.00539211142485426
SNN	-0.704047023800766	6.01445360996685	4.27767178178391e-05	0.00539211142485426
PARP12	1.12854612160179	6.99970069358496	4.28521664977508e-05	0.00539211142485426
RHOBTB3	2.69778953014478	3.53653957488194	4.30516578136676e-05	0.00539211142485426
EPOP	2.12244147840518	1.49387424450198	4.38690558951995e-05	0.00546687797560328
MUC1	2.92883000546747	1.21422241391238	4.44424545181157e-05	0.00551064214797376
ERBB3	-2.02771831944465	1.66820901344125	4.47754108660104e-05	0.00551579813314194
BCL2L1	1.62827469269446	4.90454828572859	4.49519026257519e-05	0.00551579813314194
MAP3K8	2.09796685192335	3.47129214459742	4.5189369166271e-05	0.00551579813314194
CTLA4	1.1160012103548	3.82699780327673	4.53737174547746e-05	0.00551579813314194
RGL2	-0.851249891628154	5.97292642285715	4.70444658176437e-05	0.00566432318625765
LAMP3	2.50682303858339	4.16989077441431	4.70523237376135e-05	0.00566432318625765
JAML	-0.738928170340931	7.01024514348916	4.72939624103812e-05	0.00566590808606302
NMI	0.903812114570244	5.90934555830865	4.98446365156489e-05	0.00594277471611335
OAS3	2.28322952619754	6.61344970899813	5.09118965388225e-05	0.00604097666156105
NHERF1	-0.918226899634324	7.03692472375471	5.11617798051001e-05	0.00604171893993656
HELZ2	1.57128411834257	4.78449058178852	5.48572957733883e-05	0.00644742217006757
ZNF267	1.76403260664513	5.85340241392263	5.54549631554751e-05	0.00648692278911616
GPR174	1.19806356995433	7.73723229369289	5.73847673535924e-05	0.00668114950986732
DBP	-0.97296092181792	5.79183681661677	5.94419260925055e-05	0.00688831927648618
GBP6	3.8534676114956	1.80198391580656	5.99126640357073e-05	0.00691057746707677
KCNQ1	-0.808995771615716	4.4958564483131	6.04209077911433e-05	0.00693693561255816
WNT7A	-1.17732692217153	4.33393120271493	6.09712875412639e-05	0.00696786617389771
FAM72C	3.89658147665038	-1.68227454312087	6.23829913055483e-05	0.00709649450177198
TTC39C	0.922856876968395	6.48405214129318	6.39670031830132e-05	0.0072434598718518
CLN3	-0.712000757011823	5.94323044226514	6.49452916047821e-05	0.0073208103932136
OPTN	0.925081695277561	7.36722318946335	6.61095211808132e-05	0.00739619732977362
KLHL5	0.909871013457978	5.38999953132599	6.64255627980716e-05	0.00739619732977362
SFMBT2	0.801792653354841	6.12412357421881	6.65088110221992e-05	0.00739619732977362
SPPL2A	1.20147428814109	5.57445582587084	6.7514754722558e-05	0.00741926880400926
DGKZ	-0.816065477676782	8.18901908106885	6.76011078664528e-05	0.00741926880400926
IL12B	4.88615450700969	0.225675085207941	6.76138049802852e-05	0.00741926880400926
ATG9B	-0.995813873719757	4.61069385460812	6.81598233334368e-05	0.00744623550152378
LTA	1.66200982659402	5.4840235373976	6.86279238256218e-05	0.00746449071469998
FCMR	-0.680488639047301	9.29270592803415	6.98752946031348e-05	0.00756697568062506
PLXDC1	-0.949565353335525	4.68410526566356	7.2684727368559e-05	0.00783699371309954
FBXO6	2.21045994032676	3.24046810087814	7.32124494146145e-05	0.00785730838033797
IFIT2	1.86991724983012	5.43310426881073	7.35068165747977e-05	0.00785730838033797
LINS1	1.43818059217265	5.92972512713768	7.40453196640186e-05	0.00788090078260944
GEM	4.30764437795304	-0.960096190590788	7.72738473739711e-05	0.00818937667105602
CCL20	3.14245232889534	0.339662621240165	7.78229420008204e-05	0.00821247293054615
CTSO	1.11109892381502	4.90739084214063	8.42994669847722e-05	0.00885823085489561
NOC3L	0.985453147615781	4.59821448113521	8.50244482456799e-05	0.00889671431242454
CNPY4	-0.857446083498653	4.64236924762519	8.56636779940672e-05	0.00889751947772108
APBB1	-0.741645633540376	6.67528373325367	8.57497139068244e-05	0.00889751947772108
STX11	2.15909528390289	2.81282201741572	8.8154111660834e-05	0.00910889089615425
ATP8B2	-1.05223792309264	7.64483381226019	9.22493105278356e-05	0.0094924923310365
S1PR4	-0.843729357923733	6.97376935010299	9.26538210006884e-05	0.00949471945039699
UMODL1-AS1	-2.86877483878746	-1.43309041458954	9.37546734764186e-05	0.00956799237671484
MALT1	1.19908678744068	8.20755502088027	9.4394617099245e-05	0.00959382012067286
BAG3	-0.738707705939851	5.38269256988198	9.58059199441753e-05	0.00967421037730129
IER3	1.88030788854816	4.06445399667182	9.59657951052912e-05	0.00967421037730129
SLC7A1	0.723903778350903	5.81799970119069	9.87571085437551e-05	0.00991529366306309
TNFSF13B	2.23871573868562	4.18093428105728	0.000107330971284528	0.0107326643422782
REL	1.64682205307538	4.67807606031055	0.000109905520028408	0.0109459718521465
NDRG1	-0.724833053809049	6.26350371950065	0.000110930088318004	0.0110038210407927
ETV7	6.53272722649205	4.3659844434438	0.000111867806337739	0.0110526284038629
SMPD1	-0.791199431386332	4.86654237705447	0.000114135716768919	0.0112319509529858
TRIM22	1.4198655246647	9.08571345838101	0.000114847961702868	0.0112573699694444
LYST	0.890658438818141	5.43427526004148	0.000115788344500134	0.0113048628159796
RGCC	-1.1060329504017	6.76864836093707	0.000120667283845965	0.0117350116552788
PSMA3	0.865235838315773	6.18501134658468	0.00012156924132638	0.0117765453736441
LDLRAP1	-0.779391128624835	8.79203199431186	0.000128576395071166	0.0123924741342541
TNFRSF1A	-0.800484731522004	5.59658302140383	0.000128926905384796	0.0123924741342541
PSME1	1.05299243535913	8.05950583654167	0.000130184701976434	0.0124650595533343
IFI35	1.74638116692159	4.78015527289739	0.000135518883746742	0.0128861710502481
HPCAL4	-0.959549559251334	5.24362706137823	0.000135622026860549	0.0128861710502481
CTSF	-0.862600073442356	5.2600732686133	0.000138508767637581	0.01311022491849
CSTF2T	0.641157243813641	6.12888689108292	0.000142375922579558	0.0134250209279485
NFKBIZ	0.838333665432475	6.0518306408922	0.000144676847415251	0.0135903073448894
DNAJA1	0.886772026012239	7.90422595694682	0.000147416457816023	0.0137953990089795
DUSP2	1.68387333759164	4.2689302148409	0.000149272049331276	0.0138880545660079
SLC6A9	2.25340780278508	1.30128841686711	0.000150357252556813	0.0138880545660079
RAB37	-1.38593631090902	4.29596009472583	0.00015048605782594	0.0138880545660079
DDX60	1.24062413993863	5.71233434218582	0.000150646666327519	0.0138880545660079
PARP14	1.81364092329211	7.87602560182518	0.000162697949261473	0.0149435053471676
KLF2	-0.822660936345935	8.59044391921243	0.000165503903271419	0.0151451339381104
NBN	0.944364778449332	5.70280792582434	0.000171870200895008	0.0156698864411592
STXBP1	-1.18489875689298	4.54276172847775	0.000174528211793001	0.0158539381840829
DAPP1	1.23572096684197	5.10067368927606	0.000177722853122153	0.016085215454658
XCL1	2.78546790514601	1.10380444313999	0.00018516638172043	0.0166979676373998
FAS	2.23422152658524	5.17069597390575	0.000192754283189944	0.0173192516986501
FAM241A	1.04251008071882	4.85757567698114	0.000197806350607919	0.0177090241470245
CEP162	1.12876476967689	4.39823781279076	0.000201238668778729	0.0179515026872076
ERAP2	1.13275831776937	7.05447809486715	0.000206319171301931	0.0183387423982674
CARD16	1.08408841803921	4.65305565668596	0.00021404507423593	0.0189575135570601
CARHSP1	-0.727797705949435	5.62409081552736	0.00021601402763	0.0190440209796669
ANKRD55	-0.883869185747734	4.60034034735574	0.000216557680401067	0.0190440209796669
NR4A1AS	4.07699422055949	0.975033101964476	0.000228839876948757	0.0200410484276946
ZNF792	-0.739666438831899	4.53309816832219	0.000229511583268086	0.0200410484276946
ASCC3	1.01310836397237	5.62865007395658	0.000233501162740411	0.0203178783677173
MAPKAPK5-AS1	-0.673639250530395	5.21811485971451	0.000234919250972023	0.0203697989680252
TYMP	1.84605228696871	3.08693558985519	0.000237294978309033	0.0205041051117969
SP110	0.913690752391653	7.2781408763523	0.000250953630207481	0.0215530385590002
LY86	2.19548696994396	0.0972058498289251	0.000251172553068715	0.0215530385590002
P2RY14	3.71246479355731	0.445758953914868	0.000253806292089161	0.0217039387500659
ACTB	0.726022286462848	11.6433931631604	0.000255658721152205	0.0217872186455448
IFI30	2.2434750915337	3.74673334316173	0.000257470044715604	0.0218664371195283
PRPS2	0.870755399422949	5.35065540698388	0.000259466670804483	0.0219607985299672
DRAM1	1.58027654615899	2.9724051422808	0.000273551163162783	0.0230741336573941
IL27RA	0.611836482101877	7.56142298574485	0.00027505353215261	0.0231222120130596
BCL2	1.12117848888492	6.77715113886667	0.000277893703907392	0.023282047172971
AP1S3	1.89686138351913	0.799972635920494	0.000279824418138413	0.0233648678296785
CASP7	1.24459373281015	5.0132935486754	0.000280950583204988	0.0233801795734916
TRAF4	1.0223805427298	4.45192101826925	0.000283266492097451	0.0234940660117883
HPS5	0.85693596179555	4.87286473571054	0.000285118463396751	0.023522854529879
DUSP7	-0.715383754835797	6.0877666270652	0.000285510674361611	0.023522854529879
TRIM38	0.668722271781377	7.11982895821897	0.0002869136063306	0.0235601672960018
VAMP1	-0.734847999592046	7.26926374114027	0.00028879576495913	0.0236364560238332
CYLD	0.867608441483999	9.09257157624016	0.000298443730840739	0.0243457436878931
ACSL5	0.943092974607758	6.34205874198424	0.000302232399103578	0.0245739713618676
RCN1	1.23356744824391	4.21894170896814	0.000310712603928709	0.0251651336809974
PLXND1	-1.41597198337472	3.42225561440205	0.000311532563412485	0.0251651336809974
PLEKHB1	-0.576078382143916	6.12630611387534	0.000313683398686155	0.0252566058572011
CASP4	1.07985995301882	6.96939553793583	0.00031623897366184	0.0253799686337863
CD7	1.09377475842015	6.74882933713341	0.000320334868652883	0.0256257561539447
BHLHE40	1.68801484153863	4.39926765083587	0.000322945692514301	0.0256830169312929
CD4	-0.786027836386807	8.5360589389788	0.000323121951794967	0.0256830169312929
IL1A	6.81778029582014	-1.90991496888708	0.000324184398042217	0.0256851402142139
WDR11	0.895029145854507	6.19401279507434	0.000326931355817953	0.0258202888309854
SEPTIN11	0.874480560717043	5.52293962708775	0.000351924176671906	0.0277059290707511
MFGE8	-0.942578310496164	5.84975579133663	0.000358743993553347	0.0281534566333211
IFNB1	5.81088508091072	-2.55999566394789	0.000364678438421981	0.0285288977742167
PBXIP1	-0.612979775248624	9.15026836384819	0.00036704086064311	0.0286234160474481
MRTFA	-0.623828568142418	6.50286252229067	0.000375703231614679	0.0292070985605405
RASGRP2	-0.728963059969215	9.01325851744864	0.000385252016704947	0.0298558273820812
ACTR3	0.600181473154762	7.69838422499312	0.000389584552156761	0.0300975305574315
PALD1	3.36552629338375	-1.79693122985308	0.000404285221439811	0.0311362397716953
TRANK1	1.20764482250872	7.63734769235453	0.00040773197213043	0.0313044742317725
FEZ1	4.19260246767433	1.3095083887203	0.000412593388500195	0.0315799488932603
IL21	4.7976893604791	-1.04441731385498	0.000421057922177642	0.0318968941760233
KCTD7	-0.655860594496054	6.31007556451969	0.000421327939008093	0.0318968941760233
YARS1	0.584938010651849	6.46090880391423	0.000421585035385667	0.0318968941760233
GAL3ST4	-1.46476023000924	5.56194092607651	0.000421879160036116	0.0318968941760233
RSAD2	2.10127675982635	3.33911760605359	0.000425154179316582	0.0320468039297019
IRF2	0.902236606211974	6.77408209428219	0.000426802763766136	0.0320735810261709
UXS1	-0.562979791406189	6.79422790634405	0.000428670194630807	0.0321048188551974
PSD4	-0.858750754093187	6.75188664655574	0.000430286015927295	0.0321048188551974
NR4A2	1.97039127270344	2.19396252792871	0.000431102249235079	0.0321048188551974
