gene	logFC	logCPM	PValue	FDR
35	NEO1	3.53967654219978	4.01601979940035	9.79553948157275e-15	3.54234694909332e-12
36	TRPC1	3.83928202759721	2.64015318741596	2.45158272630283e-14	8.61935626855969e-12
37	ZNF704	-3.48521837819506	3.91662652919955	3.82672928185812e-14	1.30905168974266e-11
38	NAALADL1	2.50353957325559	3.84010545609257	1.50580631825159e-13	5.01552383423956e-11
39	RGMB	1.85961008499409	5.76997429500141	1.54984100590875e-13	5.02983015686846e-11
40	RNF175	3.73420410212278	3.98192198244793	3.1082414719132e-13	9.83525307750134e-11
41	CNRIP1	-3.85732190224511	2.06226856997738	5.960425099143e-13	1.84002684097202e-10
42	AIF1	-2.6157465433741	5.6879232697319	6.46717957167419e-13	1.94893075806382e-10
43	DHRS7	2.03853550269425	4.93708285026119	1.16718052128261e-12	3.43558229252882e-10
44	NACC2	2.5842359799629	4.42704982548995	1.27124019838313e-12	3.65683799793984e-10
45	MMP28	3.22672690752789	4.59752038758375	1.38202482992288e-12	3.8408872129978e-10
46	LSP1	-1.28469564510808	7.21930819106599	1.40384620993906e-12	3.8408872129978e-10
47	GP5	2.6200732900116	2.72943515206606	1.42625976938371e-12	3.8408872129978e-10
48	KALRN	3.24753778269014	2.84001549279302	2.36442625318729e-12	6.23469647637324e-10
49	TMEM62	2.15080256177336	3.58328424255795	2.62780195279292e-12	6.78777332989796e-10
50	RAI2	7.58931347795032	0.904335261335288	3.01732397252654e-12	7.63805390405369e-10
51	SEL1L3	1.70175324137828	6.27023238896486	3.60480661602676e-12	8.94628183118641e-10
52	KANK1	1.81053024890364	4.7292331522064	6.94336764579323e-12	1.69004239024625e-09
53	TARBP1	-1.25530403055044	7.70942107970997	9.78930774954932e-12	2.33779751294426e-09
54	BMF	-2.58439066444935	5.29288523393192	1.22327378696895e-11	2.85437093175278e-09
55	GLS2	4.64988638046068	1.75400683307003	1.24034448326146e-11	2.85437093175278e-09
56	ZNF418	-2.6729964079126	3.32669221049958	1.65593971132607e-11	3.74271945111679e-09
57	SCARF2	-4.59058122043865	1.64784562462066	1.73484498423302e-11	3.85226894130479e-09
58	PATJ	1.63140874594013	5.63479815893704	3.01685293056046e-11	6.58350130036272e-09
59	MOCS1	5.40589427451342	1.14799384797284	4.452663014191e-11	9.55209419840941e-09
60	VGLL4	-1.45558587226324	6.90919845190321	5.57498717723717e-11	1.17604354503818e-08
61	ZC3H12D	1.6722219324354	4.83775955551469	6.12978926514315e-11	1.2718810283429e-08
62	ZFR2	4.29763697628998	-0.0686368189820453	7.97813950836676e-11	1.62869857673223e-08
63	ZNRF1	-2.31119786082412	4.19553458597045	9.29341194787711e-11	1.86709071467112e-08
64	ABTB3	-1.52380470354374	5.70760274863293	9.69886093768283e-11	1.91810129512893e-08
65	TP53I3	-3.91387746082009	1.01955467887275	1.09647652012529e-10	2.13509281772705e-08
66	JAG2	-2.941259552377	1.88094103295993	2.57059048362711e-10	4.92969147746489e-08
67	SLC22A17	2.84273499340322	4.06843696686771	2.67544518177488e-10	5.03971025023592e-08
68	EDA	3.63277143134384	1.42219618358726	2.7075949831401e-10	5.03971025023592e-08
69	EVA1C	2.54770484203781	3.03240770757177	3.22352320443821e-10	5.91306278240208e-08
70	GSTM3	2.76063184859189	5.39952579802183	4.60368888719385e-10	8.32412717788751e-08
71	LSR	2.85170224778376	4.96838337674436	5.03863452094022e-10	8.98225311711836e-08
72	TJP3	1.98778766585425	5.47989148842654	5.21905618630152e-10	9.17466585416921e-08
73	CYRIA	-3.57417218803924	4.10035740803764	5.31834431086915e-10	9.22113478666724e-08
74	ZFYVE9	5.0537054182877	1.05197946155135	5.60178695684703e-10	9.58132669092066e-08
75	KRT18	2.2914149543553	3.08657571674	6.60799515569816e-10	1.11516526247562e-07
76	HERC5	2.85487093137591	3.20204776471213	7.2729987735185e-10	1.21124138784768e-07
77	CASP4LP	2.61708083609275	1.78494699395276	8.83457882774386e-10	1.45219823665914e-07
78	EVA1A	-5.0649576515215	1.79318832532713	9.43904309860752e-10	1.53166626280866e-07
79	NRP2	-4.00154966052288	3.10754130776627	1.25792865387673e-09	2.01539278128073e-07
80	INSR	-2.13577846309673	3.90319787863182	1.45829420413155e-09	2.30720371771163e-07
81	ELAPOR1	2.06343907197368	3.49438512535207	1.69401332578656e-09	2.64705267462722e-07
82	CD84	2.20624223007159	6.00496513297851	2.67882125249104e-09	4.1348586088755e-07
83	TMEM183BP	-7.84706048712351	-0.261695595984778	3.19416514258575e-09	4.87090942285637e-07
84	GNAI1	-2.03146607524031	4.33079370291507	3.55631650148061e-09	5.35860689990954e-07
85	BZW2	-1.73397614239135	5.89244424812205	3.63748038547049e-09	5.4164222634e-07
86	HEMGN	-1.51889024087866	5.05076835018096	4.13729620164557e-09	6.08904163072418e-07
87	PTPRD	-5.59638671190269	0.430611478661738	4.40624146635465e-09	6.41032163674147e-07
88	GPR146	-1.47416961198484	5.42069006899733	4.99128266861408e-09	7.13859499655213e-07
89	FGFBP2	-3.6490299665571	2.96165188985034	5.06886786241409e-09	7.13859499655213e-07
90	ACSM1	3.69945569973477	0.166133309174163	5.07603341779009e-09	7.13859499655213e-07
91	LCN10	3.15495698021126	1.65977342462997	5.60085709189976e-09	7.79011518815112e-07
92	CBX2	-5.38004986075372	-0.489261883822675	6.21612687081752e-09	8.55190410912362e-07
93	TOX2	-2.76755477382931	2.43582228057329	6.40088840216052e-09	8.64862579317921e-07
94	KRTAP5-1	3.63083153028537	0.00862714384862125	6.42309255399262e-09	8.64862579317921e-07
95	CCL5	4.02371918851732	5.20071533158248	6.66587631096793e-09	8.88105225978116e-07
96	MMRN1	-4.7488185720982	0.53890801363666	7.53041622043309e-09	9.92838313562726e-07
97	ACACB	1.75733089280129	5.300202048288	7.62189426150453e-09	9.94539336782091e-07
98	KDM5B	-1.35636904957162	7.20993786635066	7.97029185594608e-09	1.02938759204806e-06
99	CASP1P2	3.26520570233512	-0.220567437891339	8.30931233235867e-09	1.06233299182489e-06
100	IFT80	-1.04055273615317	6.63415933999333	9.15996439599112e-09	1.1593766936006e-06
101	SREBF2	1.36159638364392	6.10006163903706	9.94355712520325e-09	1.24609507459106e-06
102	CDK6	-1.75188316791979	6.62300032821781	1.08624021637106e-08	1.34789631554985e-06
103	CAPN2	1.54696965343411	7.2767436752995	1.12329249426785e-08	1.38034107766487e-06
104	PARD3	-6.08484300962157	2.50659967794667	1.15040902210346e-08	1.40006990315034e-06
105	LMO4	-1.38948112598431	5.09831760519534	1.3195391026461e-08	1.59061013544683e-06
106	EMID1	-8.92507151790577	0.773629920063255	1.44523795347645e-08	1.72569592237277e-06
107	DBN1	-1.69928451705851	4.10624553279827	1.48309649212856e-08	1.73906049997817e-06
108	PPP4R4	4.85655352418318	-1.15945094887037	1.48391035788609e-08	1.73906049997817e-06
109	PRDM1	2.77358080487685	3.33301214158741	1.65087036179429e-08	1.89984504117275e-06
110	GZMH	10.108071227432	1.80470292066922	1.65112549995262e-08	1.89984504117275e-06
111	FBLN2	-3.89635443133067	0.797663067406229	1.77237005767756e-08	2.02098088468693e-06
112	IGHA1	10.4794275288042	7.77278756000931	2.15729938489879e-08	2.43596644955828e-06
113	PHGDH	-1.46745293856885	4.34119349247925	2.17479820494655e-08	2.43596644955828e-06
114	COTL1	-1.21640142191874	7.39858329564585	2.26301086022998e-08	2.51253758402902e-06
115	SLFN14	2.54771839951006	2.86035663144313	2.32629029461314e-08	2.56033532686248e-06
116	LMTK3	2.68838765729029	3.38793115843716	2.36231014654677e-08	2.57756547627953e-06
117	LDLRAD4	-1.19192742000358	5.79899706295479	3.08122417613611e-08	3.28906492881772e-06
118	FES	-3.38106012232403	2.04172634051199	3.0923498975216e-08	3.28906492881772e-06
119	LARGE2	3.04158424434559	1.10741564468474	3.16825360083732e-08	3.34171548548317e-06
120	NT5C3B	1.19378960226231	5.37409681895834	3.22325768058939e-08	3.34885608385136e-06
121	HFM1	-4.55333094331085	-0.471477050275753	3.22794060385451e-08	3.34885608385136e-06
122	TNS2	2.75584350897788	1.01782182982977	3.33993467448104e-08	3.40357150553536e-06
123	PALM2AKAP2	-1.63589490451223	5.99791425190587	3.351766684892e-08	3.40357150553536e-06
124	IGFBP2	-7.61265256154676	7.45837129127677	3.49685534772987e-08	3.51267445525532e-06
125	KLRC4-KLRK1	-2.05043246145357	2.80387201601908	3.57076604653565e-08	3.55867605125998e-06
126	ZNF711	-3.10551650288614	4.37151924866437	3.78933069685137e-08	3.74699676797248e-06
127	HID1	2.33686331739076	2.02844880727409	3.97140194964814e-08	3.89659181989895e-06
128	SERPINB6	1.91212972163294	6.20840051644653	4.16568756138581e-08	4.05577749726617e-06
129	HSBP1L1	1.18496550704686	5.4101122630514	4.42174724360148e-08	4.2722179284171e-06
130	HK2	-4.45748806585826	7.09377672501431	4.46657320772846e-08	4.2828346280469e-06
131	OLFM2	-1.76313855175148	5.42738715558146	4.65731993087244e-08	4.43215777180845e-06
132	BAALC	-4.11058980714529	2.21720159783511	4.84430728144647e-08	4.57570128815433e-06
133	CEACAM4	4.63770771260913	1.97752136856977	4.92374652094663e-08	4.61628590486085e-06
134	MFAP2	-6.51330379375664	0.493888210384048	5.11637909324915e-08	4.76161839582754e-06
135	NREP	-2.15004650348245	2.91549229878583	5.19969914277816e-08	4.80383883577688e-06
136	ABCA3	2.34617427613431	2.90453230905696	5.5000620306031e-08	5.0445134145901e-06
137	IQCE	-2.1173654494612	3.24378500747149	5.89602915343333e-08	5.36877992769825e-06
138	NR3C2	5.48543676923785	4.50012385450886	6.51254674971203e-08	5.88780744365037e-06
139	TNS1	-4.09117810980448	2.74881745006019	6.6632688185382e-08	5.98134705221547e-06
140	GBP5	2.37965460759964	5.38429341900415	7.38280223611395e-08	6.5805723874996e-06
141	TSPYL2	1.09904674718626	8.02906724349623	7.83193309189179e-08	6.93208231776744e-06
142	TRH	-3.98491349891756	0.834774526180688	8.0425857872218e-08	7.06909779922683e-06
143	SLC45A3	-3.00810788876355	2.1565710152718	8.14235531580351e-08	7.10743387807759e-06
144	RPL23AP42	-3.07687143142851	3.26424374733491	9.15386528442533e-08	7.93564882910763e-06
145	EML5	2.72577933580853	1.8669143343543	1.00729876701636e-07	8.67304795518781e-06
146	KLHL3	-1.60735027229623	6.57010768702846	1.12723205125588e-07	9.64011896807137e-06
147	PDE6G	-3.94769331540964	1.86094109315029	1.15389527290117e-07	9.80191440879874e-06
148	FAM184A	1.36464784199702	4.20823466869703	1.24372740128993e-07	1.04945718120844e-05
149	RELL2	1.50287698616358	5.1454319765556	1.31797626781846e-07	1.10474341866081e-05
150	PCGF3	-1.33456505002403	6.3929113264387	1.46331094935469e-07	1.21849517670936e-05
151	SEPTIN10	3.46032119608781	-0.299938015463319	1.47333295883533e-07	1.21882191241692e-05
152	LRP1	2.62798643634765	3.34053605336112	1.49556469199335e-07	1.22917937055583e-05
153	NF1	1.05293045572602	5.93336832073493	1.64536950672633e-07	1.3435768933313e-05
154	PAICS	-1.39834275386388	7.30312575931487	1.82450125033626e-07	1.48030207214782e-05
155	ZNF362	-1.18171919258067	5.83964368825766	1.94578879985561e-07	1.5686527923422e-05
156	MRC2	-2.42686141447068	2.85803335051384	2.06057753031004e-07	1.64812145780155e-05
157	WWC2	1.8496914563256	3.07993107267988	2.07040619254521e-07	1.64812145780155e-05
158	TMIGD2	-1.17127858707685	5.33002141862081	2.14187988875716e-07	1.69436085949996e-05
159	ZNF285	-2.05599507657625	3.52370175542313	2.16036702846046e-07	1.69837052665988e-05
160	RPL32P24	4.25863183720475	-0.473264571180266	2.20187161728458e-07	1.72031413950437e-05
161	EGFL7	-4.61908094657281	5.2759495594071	2.44996664760546e-07	1.89163375670217e-05
162	FCRL6	5.53464273104638	2.12859267503231	2.45103844591259e-07	1.89163375670217e-05
163	CDT1	-7.90379858094335	-0.127282311858687	2.5834685755374e-07	1.98175525821678e-05
164	GATA2	-3.89299953444669	4.37647923363241	2.75843647699679e-07	2.103224728274e-05
165	MGST2	-3.70217414307048	1.04523956595112	2.94297804358001e-07	2.21721863676144e-05
166	KDM7A	-1.71156819493076	8.23233686300683	2.96878856116845e-07	2.22342939755675e-05
167	PRAM1	-1.89444302494708	2.95432968153828	3.05515314643423e-07	2.27465137496577e-05
168	MICE	3.72609810966797	0.270150098025402	3.1040428792533e-07	2.29753629957362e-05
169	EFCC1	-2.91929460589266	1.33957745087815	3.36720448373916e-07	2.47783181108642e-05
170	TNNT3	-3.000840704237	4.19157115017543	3.48839363252397e-07	2.55217330675468e-05
171	ZNF608	-3.27648631099558	0.502160294634023	3.51536756382731e-07	2.55712685375645e-05
172	IGHG1	8.52667380706254	7.27581056391143	3.76270404732775e-07	2.72140257868728e-05
173	SGSM1	2.84783379675515	1.13165024591286	3.79583521554932e-07	2.72976626836408e-05
174	TTC7A	-1.03900713730646	5.52851260047305	4.18748945889472e-07	2.98535633916551e-05
175	SPTBN2	-4.87200757170713	0.671774857881714	4.19841533042159e-07	2.98535633916551e-05
176	MYCN	-3.14600501233758	2.97506246934386	4.39315274106179e-07	3.10637621472732e-05
177	SLAMF6	1.28172276010874	5.69298331328649	4.66695094315074e-07	3.26351370648944e-05
178	MAP3K21	2.18450309078314	1.40826811863584	4.70359470677646e-07	3.27106583536647e-05
179	TTC4P1	4.07203944900147	-0.747640512520571	5.39591031934812e-07	3.71174113652115e-05
180	SLC5A11	3.35974039248488	-0.0395177132613669	6.39451568132309e-07	4.37488567451386e-05
181	PCGF5	1.26307384050864	5.58131709429572	6.76214998740863e-07	4.60153399949629e-05
182	GCOM1	4.4886820257497	0.601483964494506	6.85547362066517e-07	4.63202272994901e-05
183	FLT4	2.05269798898829	1.8273986268333	6.9167440622609e-07	4.63202272994901e-05
184	ASNS	1.37098792412587	5.93264901510842	7.39518836058096e-07	4.92636310946701e-05
185	CALY	4.67886005926584	0.0965450181093499	8.60386857722765e-07	5.70152694146442e-05
186	SMIM24	-4.12771672969691	3.87736653864893	8.79056824899882e-07	5.7932162112212e-05
187	RPS24	-1.06778588236762	10.6159537222039	8.8337736332914e-07	5.7932162112212e-05
188	AASS	2.27232419673962	2.27920177808008	8.92490171480481e-07	5.82280829918992e-05
189	GSTK1	1.07240595411954	8.1812369576443	8.99046489185963e-07	5.83550328903935e-05
190	RCN3	-2.16506225068897	1.24173442960096	9.710883114669e-07	6.27095140726355e-05
191	EPOP	-3.31101981706562	2.33662848088668	1.02767016326087e-06	6.60265038395573e-05
192	BCL2	1.37099340285905	6.37380276752762	1.20972730891501e-06	7.73309017623095e-05
193	PDGFC	-4.03964355298935	1.35513871869223	1.26467349339087e-06	8.01405737529629e-05
194	AZU1	-2.5054140004827	2.62248745743096	1.26634390065518e-06	8.01405737529629e-05
195	RNF217	-2.8757770503389	1.96765009371123	1.39730026653328e-06	8.79882063358791e-05
196	ITM2A	-1.20760092625397	7.70752197467388	1.46032008542036e-06	9.15013431740869e-05
197	SH3BP4	-3.03646866285486	0.400555483680689	1.47275891472659e-06	9.18261555847015e-05
198	IGFBP3	5.44610465191327	1.92475265463	1.49260334526504e-06	9.26072575540176e-05
199	MAML3	-1.817628599245	3.67417407466078	1.51984004088914e-06	9.38371482806527e-05
200	TOMM20	1.18955374669363	5.07872558116079	1.55553846729957e-06	9.55750018476243e-05
201	IGHG2	9.49234509216456	6.79088092716076	1.62902036574858e-06	9.96063322187429e-05
202	STAT4	1.82339722728077	7.02517514587498	1.69283291470238e-06	0.000103010510583596
203	MMRN2	4.1565033259241	-1.02620932736045	1.74036581742521e-06	0.000105396220818904
204	TNFRSF21	-3.07216094429988	0.436659209459402	1.75806450280675e-06	0.000105961059104881
205	TUB	2.88775125499991	0.485397443036288	1.82585898612224e-06	0.000109525579086963
206	LDB2	-4.06070052292636	0.210039682075522	1.84197142004075e-06	0.000109970906903093
207	APOL3	1.05010341157647	6.3974033199943	1.88231251536084e-06	0.000111851781722639
208	PRSS16	2.93906196369782	-0.376833784931043	1.9050560244532e-06	0.000112674271502356
209	EOMES	2.73833280703366	3.42347933118746	1.97674813509422e-06	0.000116370703004128
210	SOCS2	-1.71171825862063	4.07002642250107	1.98943937311929e-06	0.000116575621044309
211	MEST	-1.4989990519054	4.03969616017215	2.15680049621781e-06	0.000125800110048981
212	PAQR4	-2.00195718394317	2.23946488994954	2.30397724474289e-06	0.000133768073333536
213	TGFBI	3.01433504181169	-0.229892632789823	2.35176462007325e-06	0.000135301294528487
214	HOXA9	-4.11396261187918	2.06048975107226	2.3667199471299e-06	0.00013554558538834
215	ADGRL2	-5.05385679439708	-0.0332145761530702	2.45246644318007e-06	0.000139196716463364
216	ALS2CL	-1.19025208241588	5.77982535013028	2.48913443351285e-06	0.000140647207700768
217	GAPT	-3.09045703189338	3.66996774963342	2.50212727481354e-06	0.000140752999632511
218	GZMK	3.6331868736246	-0.234264405407332	2.52005739153252e-06	0.000141134364622244
219	GUSBP13	2.33520820315062	0.169980773225904	2.55757241607345e-06	0.00014242372199553
220	TTC7B	-3.10023262883613	1.36421463746743	2.56558494232289e-06	0.00014242372199553
221	IGHA2	10.0066376752963	6.79901164504684	2.6023652783481e-06	0.000143406727007588
222	CPT1B	1.62627943465216	5.42573516115321	2.60595300716956e-06	0.000143406727007588
223	SPOCK3	-4.72995885520412	-0.276023537638928	2.64574442244601e-06	0.000144966178159736
224	RGPD1	2.01165613484628	3.42463065327331	2.75758784350466e-06	0.000149797379121195
225	TMEM200A	-4.44559718452296	0.253509895139234	2.84253757962606e-06	0.000153752128826184
226	P2RX1	-4.71108117653151	2.68929007712133	3.16942799799434e-06	0.00017070404327921
227	AFF3	-1.76038861347743	5.02971786977458	3.23609564332317e-06	0.000173556197277718
228	PTK7	-2.59204184580294	4.48452134079851	3.51807430892161e-06	0.000187882981130889
229	ST8SIA1	1.78039737310949	2.67005722766323	3.56119888169642e-06	0.000189386950611897
230	ZDBF2	-2.35434846479856	4.67093253141766	3.64669806806611e-06	0.000191615654712
231	ALOXE3	3.14672965650296	-0.86179645937029	3.64852435692439e-06	0.000191615654712
232	CCDC136	1.97718157006506	3.86775721923401	3.66663991536824e-06	0.000191771328135603
233	PJA1	1.19733306350444	5.01903187040413	3.74714790222829e-06	0.000194797777932742
234	TSPO	1.5746885123186	4.57680915498438	3.75528623019586e-06	0.000194797777932742
235	SPRY1	-2.05623874237577	2.70958472960774	3.79239159671088e-06	0.000195919593630896
236	DDAH2	-1.39514083044843	5.01514906238619	4.04691193059527e-06	0.000208218554087579
237	MGST3	1.17631040794447	5.36265623980012	4.37574206421682e-06	0.000223321642366098
238	LHFPL2	-2.02255498463355	2.8610591342697	4.40614838403442e-06	0.000223970361834232
239	OAT	2.09149905042138	2.81114643366625	4.47607561688368e-06	0.000226614756331587
240	WASF1	-2.70208026681013	3.34101076074064	4.67312980684533e-06	0.000235648621375463
241	CUTALP	2.51155681872087	6.58122314693448	4.88146457332072e-06	0.000245177369462383
242	CRIP2	2.43196713081604	3.62748953289547	4.98452800152095e-06	0.000249364311917987
243	ACSL5	2.15569573853527	1.34028261956857	5.17398572400876e-06	0.000257823375231413
244	STXBP6	-3.02866465460497	0.03940139169488	5.26180911727541e-06	0.000261171443126882
245	DLG3	1.61996762827454	3.56143170187489	5.51704297307531e-06	0.000272770362930524
246	ARAP3	1.64469444872691	2.73545342956435	5.71140016863256e-06	0.000280190666412334
247	ELANE	-3.28776085031033	2.38707386927764	5.84951073674111e-06	0.00028585813665997
248	TTC12	2.28193871856716	4.35631406872527	5.92157637668446e-06	0.000288265067205028
249	CDCA7L	-1.04372742217416	6.72417910581949	5.94431401916034e-06	0.000288265067205028
250	TRDC	-1.40345297872352	4.14890305668255	6.04927813796953e-06	0.00029223554729878
251	DAPK1	-3.95220986446158	4.95237197347567	6.19819264305514e-06	0.000296039714276033
252	FARSA	-1.18635531978232	5.42888492084527	6.61281569296839e-06	0.000314655670022184
253	TP53I13	1.16543618309402	4.86516150364546	6.79433824526729e-06	0.000322082169177334
254	MTHFD2	-1.51343019678502	4.11590761703268	6.8227345050987e-06	0.000322221457578486
255	IFI27L2	2.16635539383504	2.85940416981942	7.01530593317189e-06	0.000330084487718054
256	RGS1	-2.6020139818263	-0.0362883778686482	7.08196829567593e-06	0.000331986935993964
257	VEGFA	-7.28675326509435	7.07286022042563	7.47053481165926e-06	0.000348909812218344
258	BRD3OS	1.8116149552521	3.15567652209159	7.57537115223362e-06	0.000352505414241989
259	SPIN3	1.30640696640255	5.34668039041142	7.72488666477452e-06	0.000358146119106415
260	ZBP1	2.77945498430944	3.14032005445105	7.97870767346478e-06	0.000367223647356523
261	ARHGEF17	-4.04149947978708	1.89932268869725	8.2396537294982e-06	0.000377859772660357
262	VPS37D	-3.84926840483916	-0.659031775540164	8.65439021328315e-06	0.0003954462705037
263	MAGED4B	-1.88349416545512	3.08603597551882	8.76766149146461e-06	0.000397750148736443
264	SIAE	-2.64160411656272	4.07082637164938	8.91001028666071e-06	0.000402764286422374
265	FAM241B	2.8321489857772	-0.893298561672914	9.02547254796919e-06	0.0004045348104327
266	CSF3R	-1.6401039423049	2.1360809423033	9.24910419816698e-06	0.000410757585390174
267	AMPD2	-1.06978707849805	5.53988799153282	9.30339643290394e-06	0.000411724086193235
268	IL1RL1	-1.80555550697756	2.09601125352908	9.50761774489806e-06	0.000419295880826393
269	PPIP5K1	1.37816556279602	4.41094183278785	9.65120704872579e-06	0.000424150443110147
270	F5	3.34764499255347	0.75188946415491	9.87032892577749e-06	0.00043227942288431
271	COL6A4P2	-2.48494371725772	0.725702740668639	9.93117910976698e-06	0.00043344459997352
272	P3H3	2.78833619656774	2.93587892657565	1.01453005852088e-05	0.000441268280092739
273	AMPH	-2.19614256220928	1.47491283885218	1.04183749458245e-05	0.000451593738661989
274	RALGPS1	1.49659430696632	3.61458979784291	1.07086672997388e-05	0.000462592498337183
275	MAD1L1	-1.26001246733968	7.03120774940501	1.09895737670519e-05	0.000473112364522366
276	SAMD3	-1.0964990267999	6.59946831058905	1.10712211343116e-05	0.000475011681006716
277	TBXA2R	-1.41370568074449	3.23926995929636	1.12725164599386e-05	0.000482014327140011
278	PDE2A	2.56078167335356	-0.0964366210088207	1.18119054611795e-05	0.000503378072128449
279	POLE4	1.04386519499335	4.78834294321154	1.19747083536641e-05	0.000508603636350089
280	C1QTNF4	-3.98201936638188	-0.437877844576813	1.35913724593716e-05	0.000569622520590286
281	GRB10	-1.09055951791946	4.88147974056488	1.43687487081022e-05	0.000600215354450327
282	CDK2AP1	-1.23243041102891	4.33080875450897	1.44569139090683e-05	0.000601911708378543
283	FBP1	2.23880463974268	0.573745985640555	1.48448473963259e-05	0.00061402363887352
284	PCSK4	-1.84854026467347	2.54274933911142	1.51504209549128e-05	0.000624490062911013
285	IGKV1-9	6.62956187616203	1.54760284235494	1.52459057785813e-05	0.000624490062911013
286	C1orf162	1.03372279987196	6.16596995057144	1.57237564594219e-05	0.000641985759699686
287	FXYD6	-4.67709293884253	0.999180637414068	1.6220106831571e-05	0.000659176091959536
288	NSUN7	-3.02159949018003	-0.0874701413092885	1.62489484626195e-05	0.000659176091959536
289	RPAP2	-2.0384252261685	2.1765755686188	1.83187766889389e-05	0.000740769190261661
290	PFKFB3	-2.13082026559653	7.96999927470699	1.84333025795791e-05	0.000743026467355838
291	EEPD1	-1.66782939962918	1.96836765954338	1.85357674627153e-05	0.000744784789763768
292	METTL16	1.02454194863432	5.93998048940707	1.93532231377399e-05	0.000771129993118201
293	HPCAL4	1.83400105431035	5.71756229199181	2.03195383294681e-05	0.000804591984497563
294	IGLC3	4.79553455261948	5.46068656832315	2.03462078982472e-05	0.000804591984497563
295	PLCD1	1.00194704519517	5.8123007092885	2.04691964137011e-05	0.000804591984497563
296	MCTP1	-2.009992289792	2.74497447443961	2.06772487436038e-05	0.000810253675999361
297	JHY	1.74044580716034	2.19455855759752	2.10408312867891e-05	0.00082195617776818
298	RHOBTB1	-2.92768383800928	0.488090981451785	2.15841558884841e-05	0.000840586649478594
299	CYB561	3.040153990139	1.3161175950673	2.18828077930955e-05	0.000849603368825798
300	BTBD3	-2.05037126769125	3.81431398751968	2.29365427560182e-05	0.000887791503556339
301	SYTL4	-2.49542991563908	1.11754423015384	2.83050277664381e-05	0.00108892625057692
302	AFAP1L2	1.95885522782701	2.43026584736992	2.89984652075441e-05	0.00110552281365026
303	GNB3	2.63877129615479	1.52459741334473	2.98960048202739e-05	0.00113631751654717
304	ADAM23	-2.94887459126901	2.88141614981956	3.00985426558244e-05	0.00114059058202027
